name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Peter Schmidt;peterschmidt;None;NRW;BVDK;15.07.2022;Deutschland;M;47;245;150;250
Saadi Zierl;saadizierl;None;None;BVDK;29.03.2019;Deutschland;M;25;215;140;245
Felix Jentzsch;felixjentzsch;None;None;WUAP-Germany;04.09.2021;Deutschland;M;22;265;150;245
Felix Pietzschke;felixpietzschke;None;None;BVDK;30.04.2021;None;M;26;270;182.5;300
Jonas Mockwitz;jonasmockwitz;None;None;BVDK;29.09.2021;None;M;23;302.5;197.5;310
Jörg Müller;jorgmuller;None;BB;BVDK;03.09.2011;Deutschland;M;44;222.5;132.5;245
Jeffrey Poszuweit;jeffreyposzuweit;None;NRW;Germany-UA;04.10.2019;None;M;;220;185;230
Christopher Röper;christopherroper;None;NRW;Germany-UA;09.11.2018;Deutschland;M;31;257.5;187.5;282.5
Lucas Hügerich;lucashugerich;farmerstrength;BY;BVDK;12.05.2018;Deutschland;M;23;285.5;170.5;267.5
Gregor Loosen;gregorloosen;None;None;BVDK;12.10.2017;Deutschland;M;31;282.5;180;300
Pia Jacqueline Ruschke;piajacquelineruschke;None;HE;BVDK;20.05.2022;None;W;17;160.5;82.5;181
Moritz Taschner;moritztaschner;None;BY;BVDK;30.04.2022;Deutschland;M;19;285;210;317.5
Julia Kunzner;juliakunzner;julia.kunzner.powerlifting;NRW;Germany-UA;04.10.2019;Deutschland;W;;150;90;170
Eduard Tepper;eduardtepper;None;None;BVDK;29.03.2019;Deutschland;M;39;215;165;262.5
Philipp Illgen;philippillgen;None;NRW;Germany-UA;04.10.2019;Deutschland;M;23;240;160;275
Andreas Bracht;andreasbracht;None;MOW;BB;14.05.2010;Deutschland;M;27;270;197.5;250
Otto Grasser;ottograsser;None;None;UPC-Germany;27.03.2015;Deutschland;M;37;265;150;260
Marc Benzler;marcbenzler;None;None;Germany-UA;09.12.2006;None;M;;237.5;170;230
Steffen Szameit;steffenszameit;None;NRW;BVDK;12.10.2019;Deutschland;M;29;250;167.5;300
Hauke Heß;haukehess;None;None;BVDK;21.08.2022;Deutschland;M;28;232.5;175;270
Marina Lemenovskaya;marinalemenovskaya;None;None;GPA;05.12.2013;Deutschland;W;27;120;95;155
Romano Rengel;romanorengel;None;None;UPC-Germany;31.03.2016;Deutschland;M;25;260;180;260
Sascha Calleger;saschacalleger;None;None;BVDK;29.03.2019;Deutschland;M;35;237.5;170;270
Dominik Barth;dominikbarth;None;None;GPU;02.05.2022;Deutschland;M;30;200;127.5;225
Greta Kündgen;gretakundgen;None;HE;BVDK;20.05.2022;None;W;21;137.5;84;155.5
Benjamin Heide;benjaminheide;None;NRW;BVDK;24.06.2022;None;M;23;255;150;277.5
Bianca Decker;biancadecker;None;None;GPC;26.05.2018;Deutschland;W;32;145;85;160
Marcus Böttger;marcusbottger;None;BB;BVDK;15.09.2012;Deutschland;M;22;265;172.5;282.5
Jana Hockenberger;janahockenberger;None;None;BVDK;21.08.2022;Deutschland;W;25;157.5;97.5;167.5
Manh Hung Nguyen;manhhungnguyen;None;NI;BVDK;16.11.2019;None;M;33;200;132.5;222.5
Lukas Gärtner;lukasgartner;i.am.gee;BW;BVDK;18.12.2021;Deutschland;M;24;305;185;310
Markus Heitkamp;markusheitkamp;None;None;BVDK;21.08.2022;Deutschland;M;28;235;142.5;265
Patrick Ohleff;patrickohleff;None;None;UPC-Germany;01.03.2017;Deutschland;M;35;290;190;300
Semih Aygün;semihaygun;None;BW;BVDK;18.12.2021;None;M;19;230;175.5;270
Andreas Hain;andreashain;None;None;BVDK;21.08.2022;None;M;24;260;145;270
Helmut Purwanto;helmutpurwanto;None;NRW;BVDK;15.07.2022;None;M;42;260;172.5;275
Marcel Tauche;marceltauche;None;None;UPC-Germany;01.03.2017;Deutschland;M;25;253;145;240
Torben Werner;torbenwerner;None;None;Germany-UA;17.12.2011;Deutschland;M;;235;170;300
Patrick Schiffner;patrickschiffner;None;None;BVDK;12.10.2017;Deutschland;M;38;215;155.5;222.5
Lea Kannowsky;leakannowsky;strongleali;NRW;Germany-UA;04.10.2019;Deutschland;W;;125;82.5;152.5
Dominik Pahl;dominikpahl;power.pahl;BB;BVDK;16.09.2016;Deutschland;M;24;267.5;185;290
Lea De Fries;leadefries;None;None;BVDK;21.08.2022;None;W;24;167.5;95;180
René Ullerich;reneullerich;None;None;BVDK;29.03.2019;Deutschland;M;40;265;170;275
