name;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Jens Hering;None;BB;BVDK;13.08.2019;None;M;;;150;
Arthur Weimann;None;BW;BVDK;08.04.2017;None;M;66~;;120;
Günter Völkl;None;None;BVDG;22.11.1983;None;M;17~;;120;
Frank Hennig;None;None;UPC-Germany;31.03.2016;Deutschland;M;51~;;127,5;
Gorden Schramke;None;SN;UPC-Germany;08.03.2018;None;M;43~;;120;
Dennis Müller;None;None;GDFPF;08.04.2017;None;M;27;;115;
Samuel Olibi;None;None;GRAWA;26.06.2010;None;M;;;145;
Eric Scheller;None;None;GPU;02.05.2022;Deutschland;M;18;;125;
Daniel Daetz;None;MV;UPC-Germany;05.05.2018;None;M;;;140;
Rainer Frese;None;None;GRAWA;01.01.2013;None;M;;;130;
Dieter Langer;None;None;BVDG;19.11.1983;None;M;;;137,5;
Roland Kelch-Schaumann;None;None;WPF;01.06.2012;Deutschland;M;61;;130;
Albert Olomek;None;None;WUAP-Germany;06.05.2022;Deutschland;M;75;;135;
Stefanie Ertl;None;MV;BVDK;04.11.2017;None;W;32;;82,5;
Hans-Ulrich Vetter;None;None;WUAP;13.06.2018;Deutschland;M;66;;140;
Hans-Joachim Schulz;None;None;BVDG;11.12.1982;None;M;;;130;
Anton Veynshter;None;None;GDFPF;31.03.2013;Deutschland;M;26;;120;
Vitali Emrich;None;MV;BVDK;04.11.2017;None;M;37;;150;
Maxim Stephan;None;None;GPU;02.05.2022;Deutschland;M;18;;110;
Mathias Güldenpenning;None;None;GRAWA;02.03.2008;None;M;;;127,5;
Daniel Hofer;None;None;Germany-UA;21.12.2013;None;M;32;;140;
Sacha Frese;None;None;GDFPF;08.04.2017;None;M;38;;142,5;
Johann Rußwuim;None;None;BVDG;22.11.1983;None;M;23~;;120;
Anton Vegnshter;None;None;WDFPF;28.06.2013;Deutschland;M;26;;120;
Frank Ackermann;None;BB;BVDK;21.09.2014;None;M;35;;135;
Patrick Wohlert;None;None;GRAWA;15.05.2010;None;M;;;140;
Tim Schöler;None;None;BVDK;09.11.2019;None;M;18;;125;
Manuel Krippel;None;None;GRAWA;22.10.2011;None;M;;;130;
Anton Honcharov;None;None;BVDK;17.11.2018;None;M;19~;;117,5;
Philigg Legner;None;None;UPC-Germany;01.03.2017;None;M;;;137,5;
Uschi Häuser;None;None;Germany-UA;01.12.2008;None;W;;;87,5;
Stefan Misigaiski;None;None;GRAWA;08.10.2011;None;M;;;130;
Philip Schimkus;None;MV;UPC-Germany;10.03.2019;None;M;22~;;140;
Thomas Rößner;None;None;GPU;02.05.2022;Deutschland;M;38;;120;
Hasse Thomas;None;BB;BVDK;14.08.2018;None;M;;;140;
Uwe Meyes;None;BB;BVDK;13.09.2015;None;M;56~;;125;
D Hasche;None;None;GRAWA;01.01.2008;None;M;;;130;
Jamal Kamal;None;None;BVDK;06.10.2018;None;M;;;120;
Stephan Schlenther;None;NI;BVDK;07.03.2020;None;M;43~;;150;
Tim E Fürst;None;HE;BVDK;28.10.2017;None;M;27~;;110;
Daniel Karl;None;MV;BVDK;04.11.2017;None;M;21~;;122,5;
Eric Quosdorf;None;BB;BVDK;15.09.2012;None;M;20~;;125;
Supyan Bekhoev;None;BB;BVDK;13.08.2019;None;M;;;130;
Dustin Stry;None;BB;BVDK;14.08.2018;None;M;;;132,5;
Niclas Einheuser;None;None;GRAWA;13.05.2012;None;M;;;135;
Sven Beyer;None;NI;BVDK;13.04.2019;None;M;42~;;150;
Hubert Gastl;None;BY;BVDK;02.03.2013;None;M;30;;127,5;
Rudi Maier;None;NRW;BVDK;30.05.2015;Deutschland;M;66;;127,5;
Youssef Kdami;None;None;Germany-UA;01.12.2008;None;M;;;120;
Enver Cengizhan;None;None;GRAWA;13.05.2012;None;M;;;120;
Julian Alexander;None;NI;BVDK;13.04.2019;None;M;21~;;127,5;
Lutz Dürre;None;None;GRAWA;07.12.2008;Deutschland;M;48;;150;
Alexander Vaskin;None;None;GRAWA;13.03.2010;None;M;;;130;
Mike Hasler;None;BY;BVDK;02.03.2013;None;M;20;;130;
Yannik Russo;None;None;BVDK;29.02.2020;None;M;23~;;152,5;
Hannes Birr;None;MV;BVDK;17.03.2018;None;M;24~;;130;
Briska Cech;None;None;GPU;23.08.2022;Deutschland;W;65;;;100
German Prado;None;None;BVDG;01.12.1984;None;M;;;100;
Dagmar Wang;None;None;BVDG;14.12.1985;None;W;36~;;70;
Andreas Trödler;None;TH;BVDK;04.06.2016;None;M;44;;125;
Günter Ebelt;None;NRW;BVDK;25.05.2013;None;M;;;130;
Christoph Sommer;None;None;GDFPF;16.10.2021;None;M;30;;140;
Norbert Scheibner;None;BB;BVDK;13.09.2015;None;M;56;;150;
René Perl;None;ST;BVDK;09.06.2018;None;M;45;;145;
Florian Kregsler;None;None;BVDG;14.12.1985;None;M;22~;;95;
Eugen Fähndrich;None;None;BVDG;22.11.1983;None;M;;;110;
Michael Iwen;None;None;GRAWA;13.03.2010;None;M;;;135;
Torsten Hasch;None;None;GRAWA;27.10.2012;None;M;;;117,5;
Jürgen Klinkert;None;ST;BVDK;16.05.2015;None;M;51~;;140;
Dirk Borghoff;None;NRW;BVDK;26.01.2019;None;M;;;147,5;
Helmut Hasse;None;BB;BVDK;13.08.2019;None;M;59~;;145;
Schwechheimer;None;None;BVDG;14.12.1985;None;W;17~;;85;
Willi Sinn;None;None;IPF;14.12.1991;Deutschland;M;51~;;130;
Annette Maldener;None;None;BVDG;14.12.1985;None;W;36~;;95;
Ahmet Devrim;None;MV;UPC-Germany;10.03.2019;None;M;;;115;
Daniel Meyer;None;BY;BVDK;05.11.2016;None;M;32;;135;
Alexander Holstein;None;BB;BVDK;04.10.2013;None;M;50~;;150;
Florian Kregser;None;None;BVDG;22.11.1983;None;M;20~;;95;
Tobias Kondla;None;BY;BVDK;02.03.2013;None;M;25;;125;
Raplh von Appeldorn;None;None;BVDG;19.11.1983;None;M;;;105;
Arne Rudolph;None;None;GDFPF;08.04.2017;None;M;29;;135;
Josef Ritzinger;None;None;BVDG;22.11.1983;None;M;24~;;95;
Claudine Lohmann;None;None;BVDK;09.11.2019;None;W;55~;;82,5;
Jörg Schulze;None;None;BVDK;09.11.2019;None;M;53;;145;
Michel Runge;None;None;GRAWA;18.03.2007;None;M;;;125;
Ismail Chatzikiriakos;None;NRW;BVDK;21.05.2016;None;M;37;;125;
Michael Schröder;None;None;BVDG;11.12.1982;None;M;;;130;
Torsten Koch;None;None;GRAWA;01.01.2007;None;M;43;;130;
H Ebelt. Günter;None;BB;BVDK;21.09.2014;None;M;53~;;130;
Helmut Diehl;None;None;BVDG;14.12.1985;None;M;19~;;87,5;
Thomas Krzyz;None;BB;BVDK;15.09.2012;None;M;41~;;110;
Reinhold Schaumann-Kelch;None;None;UPC-Germany;27.03.2015;Deutschland;M;64;;127,5;
Marc Polster;None;None;Germany-UA;17.12.2011;Deutschland;M;;;120;
Nikolaj Trost;None;None;GPU;03.05.2014;None;M;30;;105;
Christian Lugner;None;BB;BVDK;15.09.2012;None;M;20~;;132,5;
Jonas Ress;None;HE;BVDK;25.10.2014;None;M;19;;125;
Peter Eberle;None;None;WPF;02.11.2018;Deutschland;M;52;;132,5;
Stefan Med;None;BY;BVDK;05.11.2016;None;M;38;;137,5;
Marco Schimmel;None;TH;BVDK;04.06.2016;None;M;25~;;117,5;
Nikolay Trost;None;None;PAGermany;30.04.2016;Deutschland;M;32;;107,5;
Arthur Neumüller;None;NRW;GDFPF;13.04.2019;None;M;68;;;130
Gunter Ute;None;BB;BVDK;13.09.2015;Deutschland;M;66~;;125;
Maczka Mieczyslaw;None;None;GPC;16.09.2018;Deutschland;M;64;;;125
Matthias Heinold;None;None;BVDG;11.12.1982;None;M;;;135;
Martina Rummel;None;None;EPF;09.08.2018;Deutschland;W;42;;72,5;
Günter Roloff;None;None;WUAP;05.10.2016;Deutschland;M;55~;;130;
Albert Geitner;None;BY;BVDK;05.11.2016;None;M;60;;130;
Georg Ganzer;None;BY;BVDK;02.03.2013;None;M;47;;120;
Jasper Gordon;None;NRW;BVDK;08.10.2016;None;M;21;;130;
Ribb Hagen;None;MV;UPC-Germany;05.05.2018;None;M;;;140;
Hartmuth Rath;None;NRW;BVDK;30.05.2015;None;M;69;;125;
Christian Glöer;None;SH;BVDK;04.03.2017;None;M;25~;;125;
Yannik Koch;None;None;GPU;23.08.2022;Deutschland;M;32;;135;
Johann Dörflinger;None;None;IPF;01.12.1996;Deutschland;M;39~;;150;
Patrick Hobner;None;BY;BVDK;14.07.2018;None;M;29;;127,5;
Alexander Lang;None;None;WUAP;09.10.2014;Deutschland;M;;;115;
Günther Roloff;None;None;UPC-Germany;27.03.2015;Deutschland;M;55;;130;
Johannes Thiele;None;SN;BVDK;24.11.2018;None;M;28;;105;
Rainer Deischl;None;None;BVDG;14.12.1985;None;M;16~;;92,5;
Tim Riemland;None;None;GRAWA;18.03.2007;None;M;;;120;
Robin Schleinkofer;None;None;PAGermany;30.04.2016;Deutschland;M;20;;115;
Reiner Engl;None;HE;BVDK;29.10.2016;None;M;38;;145;
Markus Beller;None;None;GRAWA;26.06.2010;None;M;;;135;
Jörg Görtzen;None;None;GRAWA;02.03.2008;None;M;51;;112,5;
Rene Praet;None;None;GRAWA;28.11.2009;None;M;;;125;
Lothar Schlitter;None;BY;GRAWA;01.11.2014;None;M;;;122,5;
Florian Fanderl;None;BY;BVDK;21.04.2018;None;M;;;127,5;
Mario Thelemann;None;BB;BVDK;04.10.2013;None;M;23;;142,5;
Frank-Peter Karge;None;BB;BVDK;14.08.2018;None;M;;;100;
Erdogan Alakus;None;None;GDFPF;08.04.2017;None;M;26;;127,5;
Christoph Steinmüller;None;BY;BVDK;14.07.2018;None;M;26~;;120;
Peter Büngers;None;BB;BVDK;13.09.2015;None;M;59;;127,5;
Dennis Meuthen;None;None;GRAWA;12.03.2016;None;M;;;115;
Rafael Schefczyk;None;None;GRAWA;13.05.2012;None;M;;;130;
Dennis Schenk;None;ST;BVDK;15.06.2019;None;M;24~;;137,5;
Masoud Djarrahzadeh;None;None;BVDG;01.12.1984;None;M;;;115;
Marcuus Sambale;None;None;GRAWA;05.06.2011;None;M;;;130;
Angelika Ruf;None;None;BVDG;01.12.1984;None;W;26~;;75;
Waldemar Arnold;None;None;GRAWA;09.12.2007;Deutschland;M;48~;;140;
Nahir Danho;None;RP;BVDK;20.04.2019;None;M;36;;140;
Leon Lauer;None;None;BVDK;09.11.2019;None;M;14~;;100;
Michael Fauerbach;None;None;IPF;14.12.1991;Deutschland;M;;;105;
Lolita Zankel;None;None;Germany-UA;21.12.2013;None;M;54;;105;
Jochen Schulz;None;BY;BVDK;08.06.2019;None;M;51;;155;
Reinhold Effner;None;None;BVDG;22.11.1983;None;M;17~;;115;
Maczka Mietek;None;None;PAGermany;28.04.2017;Deutschland;M;62;;;122,5
Ronny Freyer;None;None;BVDK;09.11.2019;None;M;45~;;130;
Heiko Sackretz;None;BB;BVDK;03.09.2011;None;M;42~;;102,5;
Horst Lorenz;None;None;IPF;14.05.2018;Deutschland;M;77~;;117,5;
Werner Pasternak;None;NRW;BVDK;24.05.2014;Deutschland;M;71;;122,5;
Heiko Hampfe;None;MV;UPC-Germany;05.10.2019;None;M;51~;;122,5;
Irene Pignataro;None;None;GPU;31.07.2021;Deutschland;W;45~;;85;
Angelika Reichert;None;None;BVDG;01.12.1984;Deutschland;W;18~;;70;
Sebastian Fuchs;None;None;PAGermany;30.04.2016;Deutschland;M;26;;;140
Thomas Langenegger;None;None;BVDG;01.12.1984;None;M;;;105;
Florian Soßna;None;NRW;BVDK;20.05.2017;None;M;20;;115;
Alexander Müller;None;BB;BVDK;21.09.2014;None;M;27~;;115;
Julian Kuklinski;None;None;GDFPF;26.03.2016;None;M;23;;120;
Philipp Janik;None;None;GRAWA;18.03.2007;None;M;;;105;
Gerd Michels;None;None;GRAWA;13.11.2010;None;M;;;120;
Dietmar Luber;None;None;BVDG;22.11.1983;None;M;21~;;115;
Andy Straub;None;None;GRAWA;28.11.2009;None;M;;;115;
Marc Snoeyink;None;NRW;BVDK;09.04.2022;None;M;23~;;120;
Franziska Füchsel;None;BY;GRAWA;01.11.2014;None;W;;;77,5;
Wolfang Kammeremer;None;None;BVDG;22.11.1983;None;M;16~;;97,5;
Thorsten Rietter;None;None;PAGermany;28.04.2017;Deutschland;M;52;;130;
Marcel Radespiel;None;None;GRAWA;09.12.2007;Deutschland;M;21;;135;
Peter Krüger;None;None;GRAWA;12.04.2014;None;M;;;122,5;
Helmut Rangnit;None;NRW;BVDK;26.01.2019;Deutschland;M;;;147,5;
Péter Keller;None;None;GRAWA;08.10.2011;None;M;;;110;
Dirk Hillgruber;None;None;GRAWA;15.05.2010;None;M;;;130;
Hans-Günter Ebelt;None;NRW;BVDK;24.05.2014;None;M;53;;127,5;
Ilhan Celik;None;None;GRAWA;22.10.2011;None;M;;;115;
Robert Stieckle;None;BB;BVDK;14.08.2018;None;M;;;122,5;
Birgit Martens;None;None;BVDG;01.12.1984;None;W;;;70;
John Ballschmieter;None;MV;UPC-Germany;10.03.2019;None;M;;;130;
Jürgen Lieberwirth;None;BB;BVDK;13.09.2015;None;M;65~;;135;
Simon Geisberger;None;BY;BVDK;05.11.2016;None;M;23;;127,5;
Martin Schaufelberger;None;MV;UPC-Germany;05.10.2019;None;M;;;127,5;
Max Christian Langner;None;NRW;BVDK;24.05.2014;None;M;;;130;
Benedikt Schüler;None;None;GRAWA;01.01.2013;None;M;;;115;
Tobias Herdt;None;MV;BVDK;04.11.2017;None;M;21;;130;
Dennis Willms;None;None;GRAWA;07.07.2012;None;M;;;130;
Gerhart Grimm;None;None;BVDG;01.12.1984;None;M;;;90;
Helmut Gerhard;None;NI;BVDK;07.03.2020;None;M;63~;;147,5;
Jürgen Brinker;None;None;BVDK;05.11.2021;None;M;56~;;137,5;
Viola Heutling;None;None;GRAWA;09.12.2007;Deutschland;W;38~;;80;
Janick Dupke;None;MV;BVDK;17.03.2018;None;M;24~;;135;
Christian Bothe;None;None;GRAWA;09.12.2007;None;M;19~;;95;
Janes Schiller;None;None;BVDK;09.11.2019;None;M;16;;125;
Christian Halaßek;None;NRW;BVDK;09.04.2022;None;M;61~;;142,5;
Dieter Appelmann;None;BY;BVDK;05.11.2016;Deutschland;M;62~;;112,5;
Oli Reichelt;None;None;GRAWA;05.06.2011;None;M;;;107,5;
Detlef Mierig;None;BB;BVDK;14.08.2018;None;M;53;;125;
Jannik Wosch;None;None;BVDK;05.11.2021;None;M;17~;;120;
Julian Schirm;None;None;BVDK;01.01.2019;None;M;23~;;130;
Jannis Gallert;None;None;BVDK;09.11.2019;None;M;17;;130;
Viola Heuthling;None;None;GRAWA;07.12.2008;None;W;;;80;
Andy Gnesch;None;None;GRAWA;17.03.2012;None;M;;;110;
Gieworg Badalian;None;None;WPAU;11.12.2015;Deutschland;M;17~;;120;
Alfons Zawacki;None;None;BVDG;01.12.1984;None;M;;;105;
Henning Pöppelmeier;None;None;BVDK;09.11.2019;None;M;21~;;115;
Wilson Goik;None;None;Germany-UA;09.12.2006;None;M;;;105;
Sebastian Schulz;None;MV;BVDK;13.04.2019;None;M;36;;120;
Pierre Szallies;None;None;GRAWA;09.12.2007;None;M;;;127,5;
Domenic Röhricht;None;None;BVDK;05.11.2021;None;M;18~;;120;
Paul Wolf;None;None;GRAWA;07.07.2012;None;M;;;105;
Manfried Ritzinger;None;None;BVDG;22.11.1983;None;M;;;95;
Uwe Ierullo;None;None;GRAWA;28.05.2011;None;M;;;;140
Martin Niebler;None;None;BVDG;22.10.1983;None;M;;;137,5;
Thomas Heckel;None;BY;BVDK;02.03.2013;None;M;25;;120;
Mathias Becker;None;None;UPC-Germany;27.03.2015;None;M;;;125;
Lorenz Horst;None;BB;BVDK;14.08.2018;None;M;77~;;115;
Claudia Liebscher;None;None;IRP;17.11.2012;Deutschland;W;;;72,5;
Jesica Sterlepper;None;HE;BVDK;29.10.2016;None;W;37;;85;
Rolf Roye;None;BB;BVDK;04.10.2013;Deutschland;M;64~;;127,5;
Niclas Zemke;None;SN;BVDK;24.11.2018;None;M;19~;;140;
Jens Woelki;None;None;GDFPF;08.04.2017;None;M;31;;120;
Hans-Peter Büngers;None;NRW;BVDK;11.10.2014;None;M;57~;;125;
Daniela Adamkiewiez;None;None;WUAP;17.10.2017;Deutschland;W;40;;72,5;
Peter Böhn;None;None;Germany-UA;01.12.2008;None;M;;;130;
Thomas Röszner;None;None;WPF;19.06.2015;Deutschland;M;31;;112,5;
Sven Gietz;None;None;PAGermany;28.04.2017;Deutschland;M;46;;112,5;
Klaus Rehnelt;None;None;WPF;17.06.2017;Deutschland;M;59;;107,5;
René Andersch;None;None;GRAWA;07.07.2012;None;M;;;120;
Marion Demecz;None;None;BVDG;01.12.1984;None;W;;;65;
Alexander Winitschenko;None;None;PAGermany;30.04.2016;Deutschland;M;30;;125;
Julia Kath;None;TH;BVDK;09.06.2018;None;W;36;;;80
Jürgen Heisterkamp;None;NRW;BVDK;11.10.2014;None;M;67~;;120;
Claudia Weis;None;None;BVDG;01.12.1984;None;W;;;72,5;
Martin Serafin;None;None;PAGermany;30.04.2016;Deutschland;M;36;;130;
Karina Müller-Freyer;None;TX;IPF;22.04.2017;Deutschland;W;47;;85;
Valentin Hoffman;None;None;BVDK;01.01.2019;None;M;19~;;125;
Sonja Kruwinnus;None;None;GRAWA;12.03.2016;None;W;;;75;
Juri Chalanski;None;NI;BVDK;25.08.2018;None;M;31~;;120;
Stephan Ta;None;NI;BVDK;14.09.2019;None;M;24~;;120;
Moritz Feuerstein;None;TH;BVDK;05.08.2017;None;M;22;;122,5;
David Weidemüller;None;BY;BVDK;14.07.2018;None;M;28~;;122,5;
Rainer Sommerkamp;None;None;BVDG;11.12.1982;None;M;;;105;
Qendrim Morina;None;None;GDFPF;08.04.2017;None;M;22;;112,5;
Danny Milenz;None;BB;BVDK;14.08.2018;None;M;;;120;
Frank Rosenow;None;None;BVDK;05.11.2021;None;M;52~;;125;
Alex Gläske;None;BB;BVDK;19.11.2011;None;M;16~;;;140
Buksch Henning;None;BB;BVDK;04.10.2013;None;M;32~;;120;
Adam Alfred Hanslik;None;None;GDFPF;10.03.2018;Deutschland;M;57;;130;
Steffen Beran;None;ST;BVDK;15.06.2019;None;M;55~;;100;
Rico Andreas;None;None;GRAWA;18.05.2012;None;M;;;110;
T Kusche;None;None;GRAWA;01.01.2008;None;M;;;120;
Jürgen Thiele;None;None;GRAWA;24.09.2011;None;M;;;117,5;
Jürgen Krawczyk;None;None;GRAWA;27.10.2012;None;M;;;110;
Sebastian Angerhöfer;None;None;GRAWA;02.03.2008;None;M;;;105;
Jan Weber;None;None;GRAWA;18.03.2007;None;M;;;122,5;
Jimmy Müller;None;TH;BVDK;22.04.2017;None;M;28;;100;
Stefanula Giannoulidis;None;None;BVDG;01.12.1984;None;W;;;77,5;
Mohammed Mazigh;None;None;GRAWA;18.04.2015;None;M;;;130;
Monika Giersberg;None;HE;BVDK;31.10.2015;Deutschland;W;62;;75;
Markus Oberhößel;None;None;GRAWA;23.10.2010;None;M;;;105;
Dorian Berger;None;None;GRAWA;26.06.2010;None;M;;;120;
Martin Hermes;None;NRW;BVDK;08.10.2016;None;M;29;;125;
Katharina Brenig;None;MV;UPC-Germany;05.05.2018;None;W;;;72,5;
Limar Mikseev;None;None;GRAWA;17.10.2009;None;M;;;105;
Josef Emmeninger;None;None;BVDG;01.12.1984;None;M;;;90;
Carmelo Virzi;None;BB;BVDK;13.09.2015;Deutschland;M;57~;;90;
Hennes Maske;None;None;WUAP-Germany;04.09.2021;None;M;17~;;;130
Enrico Simmen;None;TH;BVDK;05.08.2017;None;M;35;;122,5;
Alexander Rogalskiy;None;BB;BVDK;14.08.2018;None;M;;;120;
Wladimir Lutschev;None;BB;BVDK;15.09.2012;None;M;31~;;130;
Lucius Voigt;None;None;BVDK;29.02.2020;None;M;41;;125;
Marco Rabe;None;None;GRAWA;15.05.2010;None;M;;;110;
René Borchert;None;ST;BVDK;11.11.2017;Deutschland;M;18~;;;110
Sandra Korte;None;NRW;BVDK;24.05.2014;Deutschland;W;43~;;65;
Wolfram Fenrich;None;BW;BVDK;08.04.2017;None;M;58;;117,5;
Memduh Turan;None;BY;BVDK;21.04.2018;None;M;19;;105;
Burkhardt Boldt;None;None;GRAWA;09.12.2007;None;M;;;130;
Hans-Joachim Thürk;None;None;BVDK;09.11.2019;None;M;69~;;130;
Louis Schott;None;BY;BVDK;05.11.2016;None;M;15~;;125;
Andreas Werthenbach;None;NRW;BVDK;26.01.2019;Deutschland;M;21~;;120;
Matthews Walter;None;None;WPU;01.11.2012;Deutschland;M;61;;115;
Özgür Memili;None;None;GDFPF;10.03.2018;None;M;21;;110;
István Szabó;None;None;GPU;02.05.2022;Deutschland;M;51;;137,5;
Wolfgang Köster;None;MV;BVDK;18.03.2017;Deutschland;M;66;;107,5;
Andrei Jushaninov;None;BB;BVDK;13.08.2019;None;M;;;122,5;
Christoph Kleiber;None;NRW;BVDK;01.09.2012;None;M;;;100;
Joerg Bischof;None;NRW;BVDK;04.09.2021;None;M;55~;;120;
Karl-Heinz Schmidt;None;None;BVDG;14.12.1985;None;M;23~;;77,5;
Danny Telschow;None;None;GRAWA;08.10.2011;None;M;;;120;
Michaela Schmitz;None;None;GDFPF;10.03.2018;None;W;31;;;80
Daniel Simke;None;NI;BVDK;19.08.2017;None;M;32~;;110;
Joachim Pippig;None;None;GRAWA;05.06.2011;None;M;57~;;115;
Sebastian Fackelmann;None;TH;BVDK;04.06.2016;None;M;23~;;100;
Jochen Wolf;None;None;BVDK;05.11.2021;None;M;50~;;150;
David Hoffmann;None;BB;BVDK;03.09.2011;None;M;16~;;135;
Manuel Kolle;None;BY;BVDK;08.06.2019;None;M;22;;127,5;
Maik Hiepler;None;None;GRAWA;28.11.2009;None;M;;;110;
Dirk Leverenz;None;None;GPC;26.05.2018;Deutschland;M;30;;100;
Thomas Wagner;None;None;GPC;02.06.2014;Deutschland;M;;;115;
Uwe Hayn;None;None;BVDK;09.11.2019;None;M;59;;127,5;
Stefan Geyersbach;None;SN;BVDK;19.10.2019;None;M;51;;140;
Sven Keller;None;HE;BVDK;29.10.2016;None;M;48;;130;
Frank Schulze;None;ST;BVDK;08.07.2017;Deutschland;M;56~;;127,5;
Norbert Ritzrow;None;BY;BVDK;05.11.2016;Deutschland;M;76;;130;
Christian Bogensperger;None;BY;BVDK;05.11.2016;None;M;22;;105;
Ulrike Mayer;None;None;BVDG;01.12.1984;None;W;;;60;
Robert Oehler;None;SN;BVDK;24.11.2018;None;M;29;;127,5;
Reinhard Herrmann;None;None;BVDK;09.11.2019;Deutschland;M;68~;;122,5;
Tobias Kraft;None;None;GRAWA;08.10.2011;None;M;;;120;
Marcel Sigl;None;BY;BVDK;05.11.2016;None;M;20;;132,5;
Kurt Argauer;None;None;GRAWA;22.10.2011;None;M;61;;115;
Dirk Haun;None;TH;BVDK;22.04.2017;None;M;43;;115;
Norbert Ritzow;None;NRW;BVDK;21.05.2016;None;M;76;;130;
Sebastian Krohnfoth;None;None;GRAWA;28.11.2009;None;M;;;122,5;
Thomas Torff;None;None;BVDK;09.11.2019;None;M;57~;;115;
Hans Voigt;None;None;BVDG;11.12.1982;None;M;;;110;
Quentin Klatt;None;None;UPC-Germany;31.03.2016;None;M;;;112,5;
Matthias Joachim Schnee;None;HE;BVDK;07.08.2021;None;M;;;122,5;
Günther Sauf;None;None;GRAWA;22.10.2011;Deutschland;M;;;112,5;
Vera Loch;None;None;BVDG;14.12.1985;Deutschland;W;21~;;70;
Martin Schwer;None;BY;BVDK;05.11.2016;None;M;18;;95;
Bernhard Grellmann;None;BY;BVDK;05.11.2016;None;M;22~;;132,5;
Willibald Gottschalk;None;MV;BVDK;04.11.2017;None;M;52;;107,5;
Danny Linné Von Berg;None;NRW;BVDK;04.09.2021;None;M;34~;;137,5;
Jeanette Denz;None;None;IPF;22.10.2021;Deutschland;W;46~;;90;
Horst Burggrat;None;None;BVDG;22.10.1983;None;M;;;127,5;
Melissa Stoebke;None;None;WDFPF;01.06.2018;Deutschland;W;14;;;62,5
Hans-Joachim Thuerk;None;None;IPF;18.05.2019;Deutschland;M;69~;;127,5;
Reiner Krieger;None;None;GPC;20.10.2019;Deutschland;M;59;;112,5;
Robin Wohlrab;None;SN;BVDK;24.11.2018;None;M;22;;115;
Bernd Biegert;None;None;BVDG;22.10.1983;None;M;;;100;
Edgar Filipczyk;None;None;BVDK;05.11.2021;None;M;79~;;100;
Baron Maximilian de Kranz Zapolya;None;NI;BVDK;22.04.2017;None;M;20~;;130;
Andreas Heinz;None;TH;BVDK;04.06.2016;None;M;49~;;122,5;
Markus Baumgärtner;None;None;Germany-UA;01.12.2008;None;M;;;110;
Thomas Luxem;None;None;WDFPF;06.06.2014;Deutschland;M;54;;120;
Sackretz Heiko;None;None;IPF;14.05.2018;Deutschland;M;49~;;95;
Ralf Holland;None;None;WPF;02.11.2018;Deutschland;M;55;;110;
Uwe Szuggar;None;BB;BVDK;13.09.2015;None;M;46~;;122,5;
Sven Latzko;None;MV;BVDK;04.11.2017;None;M;39~;;125;
Benjamin Braun;None;TH;BVDK;05.08.2017;None;M;31;;117,5;
Maria Gantke;None;SN;UPC-Germany;08.03.2018;None;W;35~;;70;
Anne Büch;None;None;GRAWA;07.07.2012;None;W;;;77,5;
Henry Pyplatz;None;None;GRAWA;14.09.2008;None;M;42;;120;
Heinz-Werner Bongard;None;None;WPF;02.11.2018;Deutschland;M;74;;105;
Steffen Schultze;None;BB;BVDK;04.05.2019;None;M;51~;;120;
Ingo Warnke;None;None;BVDK;09.11.2019;None;M;59~;;120;
Claudia Lichti;None;None;BVDG;01.12.1984;None;W;;;52,5;
Werner Latzke;None;None;BVDK;14.04.2018;None;M;64;;122,5;
Marcel Schmiedel;None;None;WUAP-Germany;06.05.2022;Deutschland;M;52~;;122,5;
Janis Unrath;None;None;Germany-UA;21.12.2013;None;M;24;;110;
Edgar Fiedler;None;None;IPF;04.12.1994;Deutschland;M;38~;;100;
Delia Zoebe;None;None;WPF;13.06.2014;Deutschland;W;15;;;70
Helmut Scheide;None;None;GRAWA;09.12.2007;None;M;27~;;115;
Marco Ast;None;BY;BVDK;21.04.2018;None;M;;;105;
Detlef Thiede;None;None;WPF;31.10.2019;Deutschland;M;59;;120;
Adam Hanslik;None;None;WDFPF;18.09.2015;Deutschland;M;54;;127,5;
Josef Bergbauer;None;None;BVDG;22.10.1983;None;M;;;125;
Pascal Hasenmaier;None;None;GRAWA;13.05.2012;None;M;;;112,5;
Christian Wendt;None;None;GRAWA;09.05.2009;None;M;;;110;
Heiner Schildbach;None;None;IRP;17.11.2012;Deutschland;M;;;125;
Dennis Wiesskirchen;None;None;GRAWA;09.05.2009;None;M;;;105;
Marcus Geistert;None;None;BVDK;09.11.2019;None;M;40~;;120;
Sebastian Krohnfot;None;None;GRAWA;08.11.2009;None;M;;;120;
Philip Rätz;None;None;GRAWA;28.11.2009;None;M;;;102,5;
Christian Müller;None;None;GRAWA;15.05.2010;None;M;;;105;
Tobias Bannmann;None;None;GRAWA;01.01.2013;None;M;;;105;
Ulrich Miehlich;None;None;BVDG;22.10.1983;None;M;43~;;90;
Stefan Augustiniok;None;BY;BVDK;20.04.2019;None;M;50;;112,5;
Peter Bergbauer;None;None;BVDG;22.10.1983;None;M;23~;;110;
Egbert Vierling;None;None;GRAWA;28.11.2009;None;M;;;107,5;
Günter H Ebelt;None;BY;BVDK;05.11.2016;None;M;55~;;120;
Martin Eimansberger;None;None;IRP;23.11.2014;Deutschland;M;;;;122,5
Michael Mednikov;None;None;GPU;31.07.2021;Deutschland;M;17~;;105;
